hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
Kepler-1316,5884.0,0.13001655152962058,1.04,1.12,4.36,0.03,5.13,2.903562567894544,17.4727199,1,13.9509,,1,0,0,False
Kepler-1317,5057.15,-0.41358,0.84,0.809194,4.54624,0.3028,,2.862312098888449,0.5043217,1,15.2339,,1,0,0,False
Kepler-1318,4598.0,-0.706638202271158,0.73,0.7,4.62,-0.01,4.57,2.6769202978872095,12.4020818,1,15.2424,,1,1,1,False
Kepler-1319,3655.0,-1.3307731052112586,0.56,0.54,4.73,0.44,5.37,2.0166866005144315,135.1196641,2,14.2218,,1,0,0,False
Kepler-1320,4817.0,-0.5775401253130241,0.8,0.74,4.6,0.1,3.16,2.811188794656254,7.6409005,1,15.9045,,1,0,0,False
Kepler-1323,6046.65,0.29462,1.125,1.27918,4.27536,-0.028,,2.667842242447388,31.7464825,1,12.344,,1,0,0,False
Kepler-1324,4776.0,-0.6042071573065501,0.78,0.73,4.61,0.05,2.88,2.682746892922615,1.7959192,1,15.1336,,1,0,0,False
Kepler-1325,5550.0,-0.1518554328998205,0.93,0.91,4.5,0.01,4.79,2.9882770644759478,15.8473121,1,15.1289,,1,0,0,False
Kepler-1326,6725.0,0.7447575012302693,1.45,1.74,4.12,0.02,1.7,2.8440582119483944,7.7825669,1,12.7411,,1,0,0,False
Kepler-1327,5885.0,0.057550168095445914,1.02,1.03,4.42,-0.03,4.07,2.831273889729187,23.5209262,1,13.8837,,1,0,0,False
Kepler-1328,5780.0,-0.00812840715549651,1.0,0.99,4.44,0.0,4.57,2.910380512612996,7.7617497,1,13.8033,,1,0,0,False
Kepler-1329,4500.0,-0.7565619134568274,0.72,0.69,4.62,0.02,5.62,2.7694046532704966,20.5566833,1,15.8498,,1,0,0,False
Kepler-1330,5608.0,-0.1056224229989064,0.97,0.94,4.48,0.08,4.9,3.2356496284593477,1.8035428,1,14.9451,,1,0,0,False
Kepler-1331,4508.0,-0.7534763390619263,0.72,0.69,4.63,0.05,4.17,2.5040588009444553,5.074385,1,15.0318,,1,0,0,False
Kepler-1332,5541.94,-0.13733,0.975,0.926114,4.49374,-0.0519,,2.7231969886543226,11.7042736,1,13.795,,1,0,0,False
Kepler-1333,5488.86,-0.18777,0.96,0.890843,4.52074,-0.1016,,2.969623690259722,11.6532365,1,15.1714,,1,0,0,False
Kepler-1334,5614.0,-0.131937732196844,0.94,0.91,4.5,-0.03,4.27,3.0874406610389,12.1645215,1,15.171,,1,0,0,False
Kepler-1335,4903.0,-0.5467991375860473,0.77,0.74,4.6,-0.07,4.9,2.793687733832338,15.1672171,1,15.3037,,1,0,0,False
Kepler-1336,5449.27,0.42052,0.95,1.82069,3.89532,-0.195,,3.0517851662770084,12.765006,1,14.0381,,2,0,0,False
Kepler-1337,4523.0,-0.7732541936473851,0.7,0.67,4.64,-0.09,4.27,2.779328762152114,1.2659235,1,15.8169,,1,0,0,False
Kepler-1338,5909.0,0.08132440802582935,1.04,1.05,4.41,0.0,3.8,2.8769449059159107,21.2063498,1,13.5742,,1,0,0,False
Kepler-1339,5586.0,-0.12174052746489736,0.94,0.93,4.47,0.01,5.62,2.569431265476031,18.0777016,1,12.1235,,1,0,0,False
